Id,SalePrice
1461,126321.48677644892
1462,153353.67380632483
1463,181671.36646172148
1464,200209.61496317817
1465,198259.46761041053
1466,174271.3949706005
1467,182097.71555546805
1468,165536.63182367862
1469,192278.76632135626
1470,123070.21199969068
1471,188696.71642732288
1472,103894.79120026632
1473,100577.95365447513
1474,143978.7199789787
1475,122136.02889351286
1476,364679.5577955009
1477,241749.22512273557
1478,280756.901060162
1479,283636.12352763256
1480,520731.48977795796
1481,321759.34102925716
1482,204541.74319169132
1483,179418.41698432277
1484,164135.2730591341
1485,188702.8255171874
1486,201025.2393934425
1487,335946.21473328216
1488,228067.30677422264
1489,187425.01461157727
1490,226728.97314333773
1491,196737.73847431937
1492,95624.07424446043
1493,179474.7480258203
1494,295927.94822877424
1495,296335.64946585713
1496,221206.3244660582
1497,182770.47715097998
1498,179265.6545626847
1499,165259.88462814066
1500,158798.63521419646
1501,171575.4481357466
1502,151449.50115521287
1503,296195.081175085
1504,241255.49410632555
1505,223399.76167677724
1506,193430.934631317
1507,263825.3524270895
1508,208670.02382846037
1509,167742.34237714406
1510,141919.23910261906
1511,158527.03314999686
1512,180120.8082902102
1513,150943.274319508
1514,156526.82500521577
1515,204196.55827831384
1516,151088.461430794
1517,161840.18151648715
1518,128155.14453019365
1519,225251.34400560122
1520,133067.41988466264
1521,136655.58827144105
1522,190028.5688088063
1523,116885.20805402685
1524,127513.25593098401
1525,127610.44821492281
1526,109724.88602830417
1527,112530.2238992395
1528,140905.26516858564
1529,151396.98158843647
1530,184911.46724271498
1531,127262.84764250663
1532,99198.87335670348
1533,144354.1211008011
1534,128718.79637878282
1535,152806.71619897435
1536,116980.40394115387
1537,70600.46065291346
1538,168114.43002644376
1539,218737.17491837536
1540,85861.20360522575
1541,143306.15189655675
1542,144612.83969852846
1543,178437.63216043529
1544,87378.69728367642
1545,115465.01068587208
1546,137828.42575769365
1547,124454.57996455283
1548,131531.38218699105
1549,120015.72478256827
1550,117345.36975563654
1551,109493.19881180496
1552,137609.05904489115
1553,147878.76553029782
1554,128343.29838172787
1555,172443.08083806396
1556,95829.1863950143
1557,122999.51612372296
1558,112865.59088961947
1559,71254.3566661898
1560,136310.41514734158
1561,126125.53148844955
1562,122396.79223479706
1563,124820.32469203578
1564,160128.46396694944
1565,153789.51632140417
1566,230719.6769517469
1567,87769.64125162542
1568,238631.18223306903
1569,135824.64283369694
1570,149289.38278938347
1571,124488.87110249799
1572,138418.9632427758
1573,233040.6863000484
1574,125323.51875760697
1575,241459.10208419716
1576,261220.15570057285
1577,190719.24341950862
1578,170040.94503045894
1579,140563.29193100045
1580,197856.7967891558
1581,154736.14992722878
1582,124691.2003994908
1583,308609.35341238894
1584,227334.94755384943
1585,141466.60325107924
1586,79786.77702591156
1587,110139.27239144276
1588,151014.80555650717
1589,103703.44750984396
1590,130586.38105570768
1591,95337.8945246311
1592,116783.25617656067
1593,121811.83807303253
1594,140899.56381754737
1595,121226.99217817697
1596,226998.2055429274
1597,199194.14639416506
1598,218358.41612137968
1599,166058.3489312832
1600,157636.60798429794
1601,71759.68156933198
1602,116301.5305705307
1603,73631.55671995626
1604,252808.05660692154
1605,250028.73203085212
1606,166742.85390594564
1607,187538.42070138926
1608,213522.12807861256
1609,181359.14894790924
1610,151641.72721887167
1611,137821.13403619456
1612,171829.69225785995
1613,171444.4455324682
1614,115644.47070627628
1615,94167.82781655433
1616,83817.54243532316
1617,91655.31084268965
1618,135540.0071589887
1619,139447.5080222609
1620,166954.1720786717
1621,141206.11431510537
1622,139489.27304960083
1623,266486.76931789744
1624,228303.21569490572
1625,128151.10714432047
1626,174999.05022833715
1627,193721.95863520226
1628,287473.8199603606
1629,174992.96855304562
1630,356641.54947631335
1631,216853.47596845127
1632,241219.26231980414
1633,171282.7192712999
1634,186517.8042958732
1635,174629.3223415661
1636,155052.8468655495
1637,202130.45610917808
1638,191741.42848689164
1639,187306.03651456602
1640,262479.43793537555
1641,180105.46683706896
1642,237456.33525913768
1643,214616.5108719938
1644,229472.1195709231
1645,198641.9872704573
1646,165905.20028365662
1647,153082.8156628007
1648,132646.0489180643
1649,145895.43247609597
1650,116147.40647108834
1651,119101.4910024463
1652,100112.75174107295
1653,102364.58902847502
1654,142804.07832770367
1655,133129.8873554951
1656,137363.54227895182
1657,144855.0621444602
1658,145887.75230669978
1659,123803.15920023683
1660,154942.04026606755
1661,464806.6970776264
1662,429584.9524153649
1663,368525.30674699094
1664,541219.9728835255
1665,300470.55420529033
1666,322901.17126707215
1667,380536.4862698879
1668,330067.5242111561
